,Sedan,SUV,Total Cars
0,0,2,2
1,0,2,2
2,0,2,2
3,1,2,3
4,1,2,3
5,2,1,3
6,1,2,3
7,1,2,3
8,1,2,3
9,1,1,2
10,1,2,3
11,1,1,2
12,1,2,3
13,1,2,3
14,1,2,3
15,2,2,4
16,2,2,4
17,1,2,3
18,1,2,3
19,0,4,4
20,1,3,4
21,1,2,3
22,1,2,3
23,2,1,3
24,2,1,3
25,1,2,3
26,2,1,3
27,1,2,3
28,0,3,3
29,1,2,3
30,0,3,3
31,1,2,3
32,0,3,3
33,1,2,3
34,1,2,3
35,1,2,3
36,1,2,3
37,1,2,3
38,1,2,3
39,1,2,3
40,1,2,3
41,1,1,2
42,1,1,2
43,1,2,3
44,1,2,3
45,1,2,3
46,1,2,3
47,1,2,3
48,2,1,3
49,1,2,3
50,1,2,3
51,1,2,3
52,1,2,3
53,1,2,3
54,0,3,3
55,0,3,3
56,0,4,4
57,0,4,4
58,0,4,4
59,0,4,4
60,0,4,4
61,0,4,4
62,1,2,3
63,1,2,3
64,1,2,3
65,1,2,3
66,1,2,3
67,1,3,4
68,1,3,4
69,2,1,3
70,2,1,3
71,0,3,3
72,0,3,3
73,0,3,3
74,0,3,3
75,0,3,3
76,1,2,3
77,1,2,3
78,1,2,3
79,1,2,3
80,1,2,3
81,1,2,3
82,1,1,2
83,1,2,3
84,1,2,3
85,1,2,3
86,1,2,3
87,0,2,2
88,0,2,2
89,1,2,3
90,0,2,2
91,0,1,1
92,0,1,1
93,0,1,1
94,0,2,2
95,0,2,2
96,0,2,2
97,0,2,2
98,0,2,2
99,0,2,2
100,0,2,2
101,0,2,2
102,0,2,2
103,0,2,2
104,0,2,2
105,1,1,2
106,0,1,1
107,0,1,1
108,0,1,1
109,0,1,1
110,0,1,1
111,0,1,1
112,1,0,1
113,1,0,1
114,0,1,1
115,0,1,1
116,1,0,1
117,0,1,1
118,0,1,1
119,1,0,1
120,0,1,1
121,0,1,1
122,0,1,1
123,0,1,1
124,0,1,1
125,1,0,1
126,1,0,1
127,1,0,1
128,1,0,1
129,1,0,1
130,1,0,1
131,1,0,1
132,0,1,1
133,0,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,0,1,1
138,0,1,1
139,0,1,1
140,0,1,1
141,0,1,1
142,0,1,1
143,0,1,1
144,0,1,1
145,0,1,1
146,0,1,1
147,0,1,1
148,0,1,1
149,0,1,1
150,0,1,1
151,0,1,1
152,0,1,1
153,0,1,1
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,0,1,1
159,0,1,1
160,0,1,1
161,0,1,1
162,0,1,1
163,0,1,1
164,0,1,1
165,0,1,1
166,0,1,1
167,2,0,2
168,2,0,2
169,1,1,2
170,2,0,2
171,1,1,2
172,1,1,2
173,1,1,2
174,1,1,2
175,1,1,2
176,1,1,2
177,0,1,1
178,1,1,2
179,1,1,2
180,1,1,2
181,0,1,1
182,0,2,2
183,0,2,2
184,0,2,2
185,0,2,2
186,0,2,2
187,0,2,2
188,0,2,2
189,1,1,2
190,0,2,2
191,0,2,2
192,0,2,2
193,0,2,2
194,0,3,3
195,0,3,3
196,0,2,2
197,2,1,3
198,2,1,3
199,0,2,2
200,0,2,2
201,1,2,3
202,0,3,3
203,1,2,3
204,0,3,3
205,0,3,3
206,1,3,4
207,0,3,3
208,0,3,3
209,0,3,3
210,0,3,3
211,0,3,3
212,0,2,2
213,0,3,3
214,0,2,2
215,0,2,2
216,0,2,2
217,0,3,3
218,1,2,3
219,0,3,3
220,0,3,3
221,0,3,3
222,0,2,2
223,0,2,2
224,0,2,2
225,0,2,2
226,0,2,2
227,0,1,1
228,0,1,1
229,0,1,1
230,0,1,1
231,1,0,1
232,0,1,1
233,0,1,1
234,0,1,1
235,0,1,1
236,0,1,1
237,0,1,1
238,1,0,1
239,0,1,1
240,0,1,1
241,0,1,1
242,0,1,1
243,0,1,1
244,0,1,1
245,0,1,1
246,0,1,1
247,0,2,2
248,0,2,2
249,0,2,2
250,0,2,2
251,0,2,2
252,0,2,2
253,0,1,1
254,1,0,1
255,1,0,1
256,1,0,1
257,0,1,1
258,1,0,1
259,1,0,1
260,1,0,1
261,1,0,1
262,0,2,2
263,0,2,2
264,0,2,2
265,1,1,2
266,1,1,2
267,1,1,2
268,1,1,2
269,1,1,2
270,1,1,2
271,0,2,2
272,0,2,2
273,0,2,2
274,1,1,2
275,1,1,2
276,0,2,2
277,1,1,2
278,1,1,2
279,1,1,2
280,1,1,2
281,0,2,2
282,1,1,2
283,1,1,2
284,1,1,2
285,1,1,2
286,1,1,2
287,0,1,1
288,0,1,1
289,0,1,1
290,0,1,1
291,0,1,1
292,0,1,1
293,0,1,1
294,0,1,1
295,0,1,1
296,0,1,1
297,0,1,1
298,0,1,1
299,0,2,2
300,0,1,1
301,0,1,1
302,0,1,1
303,0,1,1
304,0,1,1
305,0,1,1
306,0,1,1
307,1,1,2
308,0,1,1
309,0,1,1
310,1,2,3
311,1,2,3
312,0,2,2
313,0,2,2
314,0,2,2
315,3,0,3
316,0,2,2
317,3,0,3
318,1,2,3
319,1,2,3
320,2,0,2
321,0,1,1
322,2,0,2
323,1,0,1
324,1,2,3
325,1,0,1
326,1,2,3
327,1,2,3
328,1,2,3
329,1,2,3
330,1,2,3
331,1,2,3
332,0,2,2
333,0,2,2
334,0,2,2
335,0,2,2
336,0,2,2
337,0,2,2
338,0,2,2
339,0,2,2
340,0,2,2
341,0,2,2
342,0,2,2
343,2,1,3
344,2,1,3
345,0,2,2
346,0,3,3
347,1,2,3
348,1,2,3
349,1,2,3
350,1,2,3
351,1,2,3
352,0,3,3
353,0,1,1
354,0,2,2
355,0,2,2
356,0,1,1
357,1,0,1
358,1,0,1
359,2,0,2
360,1,2,3
361,3,0,3
362,2,0,2
363,3,0,3
364,2,0,2
365,1,2,3
366,1,1,2
367,1,0,1
368,1,2,3
369,1,0,1
370,1,1,2
371,1,0,1
372,1,0,1
373,1,1,2
374,1,1,2
375,1,1,2
376,1,1,2
377,1,1,2
378,1,0,1
379,1,0,1
380,1,1,2
