,Total Cars
0,3
1,2
2,2
3,3
4,3
5,3
6,3
7,2
8,3
9,3
10,3
11,4
12,3
13,4
14,4
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,2
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,4
40,4
41,4
42,4
43,4
44,3
45,3
46,3
47,4
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,2
57,3
58,3
59,3
60,3
61,2
62,3
63,2
64,1
65,1
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,3
132,2
133,3
134,2
135,3
136,3
137,3
138,3
139,4
140,3
141,3
142,3
143,3
144,2
145,2
146,2
147,2
148,3
149,3
150,3
151,3
152,3
153,3
154,2
155,2
156,2
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,2
176,2
177,2
178,2
179,2
180,1
181,1
182,1
183,1
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,1
207,2
208,2
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,1
219,1
220,1
221,1
222,1
223,2
224,1
225,3
226,3
227,2
228,2
229,3
230,3
231,2
232,1
233,2
234,1
235,3
236,3
237,3
238,3
239,3
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,3
251,3
252,2
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,1
262,2
263,1
264,1
265,1
266,1
267,2
268,3
269,3
270,2
271,3
272,2
273,1
274,2
275,1
276,2
277,2
278,2
279,2
280,1
281,2
282,2
283,1
284,1
285,2
286,2
287,3
288,3
289,3
290,2
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,2
301,2
302,3
303,3
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,3
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,3
339,2
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,4
353,4
354,3
355,2
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,2
364,2
365,3
366,3
367,3
368,3
369,3
370,3
371,2
372,2
373,2
374,2
375,2
376,2
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,2
397,2
398,3
399,2
400,3
401,3
402,3
403,3
404,2
405,2
406,1
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,3
479,3
480,3
481,3
482,3
483,3
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,3
496,4
497,3
498,4
499,3
500,3
501,2
