,Sedan,SUV,Total Cars
0,0,2,2
1,0,2,2
2,0,2,2
3,1,2,3
4,2,1,3
5,1,2,3
6,1,2,3
7,1,1,2
8,1,2,3
9,1,2,3
10,1,2,3
11,2,2,4
12,1,2,3
13,0,4,4
14,1,3,4
15,1,2,3
16,1,2,3
17,2,1,3
18,2,1,3
19,1,2,3
20,0,3,3
21,1,2,3
22,0,3,3
23,1,2,3
24,1,2,3
25,1,2,3
26,1,2,3
27,1,2,3
28,1,2,3
29,1,1,2
30,1,2,3
31,1,2,3
32,1,2,3
33,2,1,3
34,1,2,3
35,1,2,3
36,1,2,3
37,0,3,3
38,0,3,3
39,0,4,4
40,0,4,4
41,0,4,4
42,0,4,4
43,0,4,4
44,1,2,3
45,1,2,3
46,1,2,3
47,1,3,4
48,2,1,3
49,0,3,3
50,0,3,3
51,1,2,3
52,1,2,3
53,1,2,3
54,1,2,3
55,1,2,3
56,1,1,2
57,1,2,3
58,0,3,3
59,1,2,3
60,1,2,3
61,0,2,2
62,1,2,3
63,0,2,2
64,0,1,1
65,0,1,1
66,0,2,2
67,0,2,2
68,0,2,2
69,0,2,2
70,0,2,2
71,0,2,2
72,0,2,2
73,1,1,2
74,0,1,1
75,0,1,1
76,0,1,1
77,1,0,1
78,0,1,1
79,0,1,1
80,1,0,1
81,0,1,1
82,0,1,1
83,0,1,1
84,0,1,1
85,0,1,1
86,1,0,1
87,1,0,1
88,1,0,1
89,0,1,1
90,0,1,1
91,0,1,1
92,0,1,1
93,0,1,1
94,0,1,1
95,0,1,1
96,0,1,1
97,0,1,1
98,0,1,1
99,0,1,1
100,0,1,1
101,0,1,1
102,0,1,1
103,0,1,1
104,0,1,1
105,0,1,1
106,0,1,1
107,1,0,1
108,0,1,1
109,0,1,1
110,0,1,1
111,0,1,1
112,0,1,1
113,0,1,1
114,2,0,2
115,2,0,2
116,1,1,2
117,1,1,2
118,1,1,2
119,1,1,2
120,0,1,1
121,0,2,2
122,0,2,2
123,0,2,2
124,0,2,2
125,0,2,2
126,1,1,2
127,0,2,2
128,0,2,2
129,0,2,2
130,0,2,2
131,0,3,3
132,0,2,2
133,2,1,3
134,0,2,2
135,1,2,3
136,0,3,3
137,1,2,3
138,0,3,3
139,1,3,4
140,0,3,3
141,0,3,3
142,0,3,3
143,0,3,3
144,0,2,2
145,0,2,2
146,1,1,2
147,0,2,2
148,0,3,3
149,0,3,3
150,0,3,3
151,1,2,3
152,0,3,3
153,0,3,3
154,0,2,2
155,0,2,2
156,0,2,2
157,0,2,2
158,0,1,1
159,0,1,1
160,0,1,1
161,1,0,1
162,1,0,1
163,0,1,1
164,0,1,1
165,0,1,1
166,1,0,1
167,0,1,1
168,0,1,1
169,0,1,1
170,0,1,1
171,0,1,1
172,0,1,1
173,0,1,1
174,0,2,2
175,0,2,2
176,0,2,2
177,0,2,2
178,0,2,2
179,0,2,2
180,0,1,1
181,1,0,1
182,1,0,1
183,1,0,1
184,0,2,2
185,0,2,2
186,1,1,2
187,1,1,2
188,1,1,2
189,1,1,2
190,1,1,2
191,1,1,2
192,0,2,2
193,0,2,2
194,0,2,2
195,1,1,2
196,0,2,2
197,1,1,2
198,1,1,2
199,1,1,2
200,1,1,2
201,1,1,2
202,0,2,2
203,0,2,2
204,1,1,2
205,1,1,2
206,1,0,1
207,1,1,2
208,1,1,2
209,0,1,1
210,0,1,1
211,0,1,1
212,0,1,1
213,0,1,1
214,0,1,1
215,0,1,1
216,0,1,1
217,0,2,2
218,0,1,1
219,0,1,1
220,0,1,1
221,1,0,1
222,0,1,1
223,1,1,2
224,0,1,1
225,1,2,3
226,1,2,3
227,0,2,2
228,0,2,2
229,3,0,3
230,1,2,3
231,2,0,2
232,0,1,1
233,2,0,2
234,1,0,1
235,1,2,3
236,1,2,3
237,1,2,3
238,1,2,3
239,1,2,3
240,0,2,2
241,0,2,2
242,0,2,2
243,0,2,2
244,0,2,2
245,0,2,2
246,0,2,2
247,0,2,2
248,0,2,2
249,0,2,2
250,2,1,3
251,2,1,3
252,0,2,2
253,1,2,3
254,0,3,3
255,1,2,3
256,1,2,3
257,1,2,3
258,1,2,3
259,1,2,3
260,0,3,3
261,0,1,1
262,0,2,2
263,0,1,1
264,1,0,1
265,1,0,1
266,1,0,1
267,2,0,2
268,1,2,3
269,3,0,3
270,2,0,2
271,1,2,3
272,1,1,2
273,1,0,1
274,1,1,2
275,1,0,1
276,1,1,2
277,1,1,2
278,1,1,2
279,1,1,2
280,1,0,1
281,1,1,2
282,2,0,2
283,0,1,1
284,0,1,1
285,1,1,2
286,0,2,2
287,1,2,3
288,1,1,2
289,1,1,2
290,0,1,1
291,1,1,2
292,1,2,3
293,2,1,3
294,1,2,3
295,1,2,3
296,1,2,3
297,1,2,3
298,2,1,3
299,2,1,3
300,1,1,2
301,1,1,2
302,2,1,3
303,2,1,3
304,2,2,4
305,2,2,4
306,1,3,4
307,1,3,4
308,1,3,4
309,1,3,4
310,1,3,4
311,1,3,4
312,1,3,4
313,1,3,4
314,1,3,4
315,1,3,4
316,1,3,4
317,1,3,4
318,1,3,4
319,3,1,4
320,3,1,4
321,2,2,4
322,2,2,4
323,3,1,4
324,2,1,3
325,1,1,2
326,1,1,2
327,1,1,2
328,1,1,2
329,1,1,2
330,1,1,2
331,1,1,2
332,1,1,2
333,1,1,2
334,1,1,2
335,1,1,2
336,1,1,2
337,0,2,2
338,1,2,3
339,1,1,2
340,1,2,3
341,1,2,3
342,1,2,3
343,1,1,2
344,1,2,3
345,0,3,3
346,1,2,3
347,0,3,3
348,1,2,3
349,2,1,3
350,2,1,3
351,2,1,3
352,1,3,4
353,2,2,4
354,1,2,3
355,1,0,1
356,2,1,3
357,2,1,3
358,2,1,3
359,2,1,3
360,2,1,3
361,2,1,3
362,2,1,3
363,1,1,2
364,2,0,2
365,2,1,3
366,2,1,3
367,2,1,3
368,2,1,3
369,2,1,3
370,2,1,3
371,1,1,2
372,1,1,2
373,1,1,2
374,1,1,2
375,1,1,2
376,1,1,2
377,2,1,3
378,2,1,3
379,2,1,3
380,2,1,3
